Name,Netflix,YouTube,Hulu,iTunes,ThePirateBay,KickassTorrents,Torrentz,Primewire,Extratorrent,RARBG,VK,TorrentHound
Netflix,5,4,4,5,3,3,3,3,3,3,3,3
YouTube,4,5,3,4,3,4,3,2,3,3,2,3
Hulu,4,3,5,4,4,4,4,4,4,4,4,4
iTunes,5,4,4,5,3,3,3,3,3,3,3,3
ThePirateBay,3,3,4,3,5,4,5,3,5,5,2,5
KickassTorrents,3,3,4,3,4,5,4,3,4,4,3,4
Torrentz,3,3,4,3,5,4,5,3,5,5,2,5
Primewire,3,2,4,3,3,3,3,5,3,3,1,3
Extratorrent,3,3,4,3,5,4,5,3,5,5,2,5
RARBG,3,3,4,3,5,4,5,3,5,5,2,5
VK,3,4,3,3,2,3,2,1,2,2,5,2
TorrentHound,3,3,4,3,5,4,5,3,5,5,2,5